"Time","Patch","Age","myID","momID","dadID","Mate"
136,1,10,3233890,2929854,2672904,2841013
136,1,17,3053628,2525941,2465877,2940272
136,1,14,3146266,2937953,2867694,3079362
136,1,8,3272428,3022705,2659711,2608363
136,1,15,3122399,2917605,2748432,2557764
136,1,36,2612637,2288217,2133451,2216271
136,1,19,3014366,2781859,2628470,2924645
136,1,19,3018047,2737135,2611668,2426299
136,1,9,3240849,2987267,2445376,2908049
136,1,13,3147339,2525941,2465877,2988634
136,1,22,2939037,2647669,1395704,1745977
136,1,9,3242847,2855878,2815516,2924576
136,1,14,3139817,2903666,2463647,3077898
136,1,11,3203503,2984230,2623850,3176664
136,1,32,2712601,2417392,2207205,2499694
137,1,9,3280340,2417392,2207205,3206778
137,1,39,2566163,1653522,1619987,2404445
137,1,9,3264863,2609736,2416674,3167201
137,1,11,3229746,2746264,2762155,3141159
137,1,21,3004678,2817242,1947712,2631421
137,1,15,3143473,2823788,2841185,3109751
137,1,35,2656170,2399678,2260472,2507792
137,1,14,3167544,2980694,2632351,2830577
137,1,15,3134909,2866364,2806564,2959777
137,1,15,3127595,2372599,2125347,2812858
138,1,18,3094708,2746050,2502123,3011254
138,1,43,2497616,2274332,2026416,2050771
138,1,25,2914433,2483324,2395154,2926793
138,1,22,3000613,2660323,2668763,2649107
138,1,25,2925970,2451779,2330655,2646084
138,1,14,3191987,2989078,2352081,2891538
139,1,8,3350951,3114740,3048546,3132129
139,1,8,3344316,3054906,3037538,3261784
139,1,10,3303597,3088711,2646256,3192899
139,1,14,3193295,3002765,2719381,3156580
139,1,20,3056427,2579271,2457838,2816916
139,1,17,3144739,2942439,2935405,2915696
139,1,26,2934036,2642613,2624364,2887689
139,1,15,3181618,2872617,2695800,2986487
140,1,22,3046365,2627057,2456107,2303847
140,1,13,3248967,2695782,2628566,2832948
140,1,19,3122719,2932773,2878835,3032133
140,1,19,3107075,2343041,2232440,2870859
140,1,8,3378728,3170689,3024270,2923381
140,1,17,3157756,2900935,2678352,3078131
140,1,8,3365869,2830818,2829508,3054880
140,1,35,2727687,2423913,2364437,2494306
140,1,16,3173576,2644738,2230356,3137885
140,1,12,3282011,2578494,1547099,3063358
140,1,10,3324370,2928032,2879010,3244272
140,1,9,3352179,2967568,2622049,3335167
140,1,22,3040399,2641906,2306584,2799715
141,1,8,3400253,2643650,2165245,3188119
141,1,8,3381797,2874292,2464764,3360240
141,1,18,3161840,2847244,2862183,2395362
141,1,22,3052912,2687877,2008136,2951010
141,1,8,3395702,3181920,2974954,3340787
141,1,21,3093500,2641712,2456619,2767577
141,1,47,2451779,1874171,1847735,2330655
141,1,14,3241583,2909995,2841185,2005990
141,1,22,3067866,2203495,2035420,3007370
141,1,26,2977940,2660323,2668763,2672509
141,1,8,3391472,3093500,2767577,3315526
141,1,22,3071411,2353857,2321392,2389837
142,1,10,3369924,3105072,2912137,2911797
142,1,23,3059692,2851886,2572692,2705416
142,1,37,2741711,2212175,2220089,2728277
142,1,9,3394405,2974469,2875572,2730976
142,1,14,3264841,2518557,2463150,2963593
142,1,18,3177983,2982706,2903200,3143675
142,1,20,3127190,2223840,1541562,3139780
142,1,10,3362904,3006236,2745917,3133943
142,1,8,3415815,3157908,3032229,3341690
142,1,12,3325377,2960680,2661201,3106792
142,1,44,2557431,2335772,1603436,2497951
143,1,9,3410486,2813782,2554657,2487388
143,1,18,3213619,2966882,2829974,2830577
143,1,34,2820040,2030805,1895071,2466419
143,1,14,3288583,2883547,2700872,3196771
143,1,13,3311285,2738213,2427508,3314686
143,1,9,3411069,2959398,2060623,2661414
143,1,21,3133196,2698288,2321591,2911394
143,1,12,3343142,3076266,3030829,2710917
