"Time","Patch","Age","myID","momID","dadID"
121,1,2,3059075,2862269,2386639
121,1,3,3052460,2850241,2663453
121,1,3,3045520,2277662,1650791
121,1,2,3056326,2823425,2502635
121,1,3,3030875,2532926,1517948
122,1,2,3092414,2848910,2797922
122,1,3,3058314,2785254,2501918
122,1,2,3091710,2739026,2737094
122,1,2,3080230,2867112,2540822
122,1,2,3078397,2820040,2466419
122,1,2,3088885,2863609,2440304
122,1,2,3084482,2805814,2790272
122,1,2,3087218,2451072,2402129
122,1,2,3086161,2761477,2060031
122,1,2,3089564,2701856,1813041
123,1,2,3102272,2629915,2479176
123,1,2,3110835,2327886,2305602
123,1,2,3121402,2934257,2681005
123,1,4,3056769,2808722,2760299
123,1,2,3117340,2583898,2058183
123,1,3,3093552,2647485,2494360
123,1,3,3086930,2591762,2306638
123,1,4,3070008,2688210,2485963
123,1,2,3121072,2924350,2639571
123,1,2,3105030,2228600,1921732
123,1,3,3097171,2899353,2863240
124,1,3,3107173,2867949,2716604
124,1,2,3133364,2868871,2645978
124,1,3,3101451,2832699,2658637
124,1,2,3125694,2552018,2542611
124,1,2,3138073,2626882,2458953
124,1,4,3099069,2892050,2793664
124,1,2,3135392,2848529,2832800
124,1,4,3082311,2484517,2466534
124,1,4,3094330,2789128,2511323
124,1,5,3060402,2680326,2675852
124,1,2,3124112,2894198,1985937
124,1,6,3049464,2823539,2800498
124,1,2,3135574,2389142,2088434
124,1,5,3054473,2460458,2115415
125,1,2,3169339,2973855,2973668
125,1,2,3167385,2977714,2750921
125,1,2,3164932,2960072,2901131
125,1,3,3143320,2821330,1822936
125,1,3,3145974,2938099,2584586
125,1,2,3158182,2860843,2801371
125,1,6,3053092,2818106,2613384
126,1,2,3190980,2998860,2211343
126,1,3,3160456,2930519,2497858
126,1,3,3155963,2924977,2665212
126,1,3,3162650,2954232,2920060
126,1,2,3182642,2818245,2702981
126,1,3,3162344,2948472,2775932
126,1,3,3164840,2842760,2632275
126,1,2,3172762,2879480,2860374
126,1,2,3179333,2932773,2878835
126,1,5,3120225,2827910,2829316
126,1,2,3172237,2875900,2756833
126,1,2,3179701,2965723,2936908
126,1,2,3169827,2956840,2284957
126,1,3,3152614,2924636,2758290
126,1,3,3164113,2834147,2730648
126,1,2,3174659,2555153,2499768
127,1,4,3152012,2871754,2706066
127,1,3,3192121,2990901,2966808
127,1,2,3195316,2980325,2790995
127,1,2,3196545,2936859,2823240
127,1,2,3201162,2805814,2790272
127,1,2,3213686,2827910,2829316
127,1,2,3201985,2992116,2853075
127,1,2,3210751,2660323,2668763
127,1,2,3212776,2787327,2758031
127,1,2,3211895,2683717,2527747
127,1,2,3215653,3014366,2924645
127,1,2,3211242,2660483,2574898
127,1,3,3187488,2910300,2894137
127,1,2,3200639,2905804,2866473
127,1,2,3204376,2956067,2823679
127,1,2,3203042,2895667,2301496
127,1,2,3210690,2826991,2801762
127,1,2,3212025,2955511,2716831
127,1,3,3187552,2849111,2393685
128,1,2,3228808,2451779,2330655
128,1,3,3194370,2731270,2600784
128,1,2,3228144,2662117,2287950
128,1,2,3229323,3020269,2372683
128,1,2,3221456,2838420,2710975
128,1,2,3231635,2902208,2382333
128,1,4,3188964,2347857,1875179
128,1,3,3194835,2964436,2939812
128,1,3,3215126,3012196,2700139
128,1,4,3185603,2678050,2562401
128,1,2,3230607,3008007,2668906
128,1,3,3211461,2312877,2140744
128,1,3,3201075,2229100,2154234
128,1,4,3172968,2567847,2404445
128,1,2,3219499,2998359,2869359
128,1,4,3172729,2232779,1673410
128,1,5,3162858,2744030,2631566
129,1,3,3222739,2941653,2854709
129,1,2,3241250,2928639,2593606
129,1,2,3251148,2952233,2536347
129,1,4,3201634,2973855,2973668
129,1,3,3228919,3011943,2988634
129,1,2,3242701,2997886,2998107
129,1,2,3258055,3024428,2797646
129,1,5,3183267,2801203,2767677
129,1,3,3235760,2090878,2048772
129,1,2,3240589,2744546,2369332
129,1,2,3248867,2965652,2350429
129,1,2,3249326,3001223,1954793
129,1,2,3261158,3073554,2823210
130,1,5,3200794,2680543,2444630
130,1,2,3268260,2934790,2764325
130,1,4,3230973,2473134,1936743
130,1,4,3223380,2550032,1959807
130,1,4,3233543,2417392,2207205
130,1,2,3264864,2609736,2416674
130,1,2,3268550,2979968,2875961
130,1,4,3220564,2996843,2890631
131,1,2,3291037,2656170,2507792
131,1,2,3305131,2849111,2393685
131,1,2,3303822,3060256,2915696
131,1,3,3272514,2934257,2681005
131,1,2,3291608,2991762,2237946
131,1,3,3273343,2774083,2785309
131,1,3,3278405,2677023,2602027
131,1,4,3252216,3028128,2727781
131,1,2,3296921,2893830,2652240
131,1,2,3301237,3021005,2910773
131,1,2,3305507,2934036,2887689
131,1,5,3235244,2990901,2966808
131,1,4,3258848,3044487,2386067
131,1,3,3272947,2924977,2665212
131,1,2,3293730,2907275,2359813
131,1,3,3265159,3061070,2442172
131,1,3,3274967,2970935,2928479
131,1,5,3218097,2849802,2118832
132,1,2,3313914,2644041,2520751
132,1,5,3259819,2222172,1395704
132,1,2,3317900,2886949,2837860
132,1,2,3322709,2451779,2330655
132,1,4,3268438,3073860,2816544
132,1,2,3330629,3042728,2764325
132,1,2,3323122,3059181,3072271
132,1,2,3328543,2660483,2574898
132,1,3,3296893,2992226,2710492
132,1,2,3332092,3131614,3005588
132,1,3,3291904,3062601,3017951
132,1,2,3332892,3138121,3035418
133,1,2,3351488,3071447,3033868
133,1,2,3354817,3155856,2118832
133,1,6,3259508,3033426,2754086
133,1,2,3355841,3164682,2822095
133,1,2,3344131,3100940,2400653
133,1,3,3320791,3104775,3022126
133,1,2,3340823,2885813,2684150
133,1,3,3313029,3062196,3073516
133,1,2,3340486,3025044,1905235
133,1,2,3337785,2656170,2507792
133,1,5,3266197,3038910,3046312
133,1,2,3336702,2939273,2746478
133,1,2,3354487,3163144,2928479
133,1,2,3337731,3019743,2653254
133,1,2,3337721,3054842,2926736
134,1,2,3376735,2488480,1488319
134,1,3,3354860,3147487,3111802
134,1,2,3375322,2414283,2221699
134,1,2,3372464,2263826,2048772
134,1,4,3333172,3130194,3029852
134,1,2,3378282,3192353,3040572
134,1,2,3372288,3052054,2834445
134,1,2,3366161,3087166,2296171
134,1,2,3359334,3122399,2557764
134,1,3,3353144,2801817,2786520
134,1,6,3272655,2435843,2448363
134,1,3,3336299,3081128,3007995
134,1,3,3352240,3114436,2824928
135,1,2,3389968,3103321,2832493
135,1,5,3325858,3052054,2834445
135,1,2,3387257,3159889,2878826
135,1,3,3378486,3187643,2466391
135,1,2,3384117,3175143,2962891
135,1,2,3394742,2993411,2565194
135,1,3,3359850,2855878,2815516
135,1,3,3362892,3132879,3101227
135,1,3,3370678,3123033,2911198
135,1,3,3362720,3107922,2926638
136,1,2,3413382,3211407,2794091
136,1,2,3413141,3109117,2487388
136,1,3,3390099,3066654,2935835
136,1,4,3364971,2425985,2011301
136,1,5,3351384,3135204,2855905
136,1,2,3420951,3084845,2590658
136,1,4,3377918,3171402,3158296
137,1,6,3344352,3025403,1080478
137,1,3,3416202,3094045,3098846
137,1,2,3437627,3055956,2945036
137,1,4,3398261,3111525,2683292
137,1,4,3397178,2140576,1932159
137,1,4,3396781,2897678,2777544
137,1,5,3364256,3055846,2673337
138,1,2,3466568,3228026,3229398
138,1,3,3447272,2873129,2608131
138,1,3,3435512,3230206,2102559
138,1,5,3386151,3036752,2062164
138,1,6,3364663,3011093,2904667
138,1,2,3467512,3084354,2903734
138,1,3,3432525,3031432,2916763
139,1,2,3494496,2865786,1562327
139,1,3,3470021,3240729,2533298
139,1,3,3470181,2995118,3003317
139,1,4,3432627,3066977,2990247
139,1,2,3488489,3150434,3108729
139,1,6,3398129,2738888,1184468
139,1,2,3487490,2925613,2822163
139,1,2,3496694,3292130,3102568
139,1,2,3481280,3189927,2672509
139,1,2,3476607,3061857,2822095
139,1,2,3498516,3302081,3273030
139,1,2,3487313,3181618,2986487
139,1,2,3483595,3187308,3184404
139,1,3,3472672,3189769,3045872
139,1,2,3477592,3282902,3063116
139,1,2,3477856,3219201,2611743
140,1,2,3514904,3265426,3168035
140,1,2,3501268,3279021,3130264
140,1,2,3506771,2229100,2154234
140,1,2,3520077,3327301,3232151
140,1,2,3500631,3031401,2932086
140,1,2,3506147,3268862,3221163
140,1,3,3483874,2658205,2099321
140,1,2,3513007,3306885,3178266
140,1,4,3455400,3212250,3064060
140,1,2,3506156,3268862,3221163
141,1,2,3522361,3291370,2886637
141,1,2,3544087,3353750,3169125
141,1,3,3502543,3266149,3266926
141,1,2,3540176,2789128,2511323
141,1,3,3508383,3181309,3036179
141,1,2,3540405,2414283,2221699
141,1,3,3498927,3178097,3124134
141,1,4,3476031,3091459,2700139
141,1,4,3486114,3252962,3176533
141,1,2,3543946,3352455,3158671
141,1,2,3543069,3350409,3248750
